"permno","gvkey","companyid","keydevid","actdate","announcedate","ri30","ri60","ri182","ri365","sri30","sri182"
54594,"001004",168154,225654609,2010-10-06,2010-09-27,-0.00371436026571429,-0.00788500118500001,-0.0191100524466667,-0.0384766439181548,-0.143656397215378,-0.121829564386336
54594,"001004",168154,140566909,2011-10-05,2011-09-15,-0.0210438016853571,-0.0420149005554762,-0.0630406533372778,-0.108858920471607,-0.379716370684942,-0.187501908685632
54594,"001004",168154,405254068,2016-10-19,2016-10-19,0.00991921470595239,0.00906275577261906,-0.000423871053595239,-0.016608131083254,0.501460694864121,-0.00353218330385887
54594,"001004",168154,547379416,2018-01-11,2017-12-21,-0.00180032432488096,0.000828146455238087,0.0034842795466349,0.00488158423063493,-0.183600529041108,0.0585714582957658
54594,"001004",168154,618891427,2019-07-17,2019-06-06,-0.0040132422479762,-0.00167148832761907,0.000682080166944427,0.00801452179740078,-0.295068427612596,0.00826632841033013
21020,"001045",168569,538208637,2017-09-28,2017-09-21,-0.00271034658535715,-0.0043746722957143,-0.00809165803509524,-0.0134242837892858,-0.201459554189925,-0.0991403450478553
27991,"001075",296957,215070313,2012-11-09,2012-08-02,-0.00977315182821428,-0.0195088979047619,0.0108150253958333,0.00234191866986111,-0.402468911926049,0.0734133604770451
61241,"001161",168864,98388293,2010-11-09,2010-02-19,-0.00124082871309523,0.0045198527109524,0.00777103180461905,0.00639015610378968,-0.0539953954825037,0.0557408317675944
61241,"001161",168864,140694457,2012-02-02,2011-09-20,-0.00676261766488096,-0.00983891367547619,-0.0210186876132937,-0.031655976234127,-0.319817049073033,-0.163848413090137
61241,"001161",168864,282651485,2015-05-06,2015-01-22,-0.00753810690107144,-0.00777960763452384,0.00212924558646816,-0.0375822151123214,-0.271700102320892,0.012650367213306
61241,"001161",168864,426583857,2017-05-16,2017-04-04,0.00750738442595236,0.0165318200983333,0.00629295388500001,-0.00430837707819447,0.232571927746499,0.0321346114854843
61241,"001161",168864,650963531,2020-03-05,2020-01-14,0.0203014781155952,0.0353418944388095,0.0316019513192618,0.0465207371346825,0.296644787292331,0.0761154515943245
61241,"001161",168864,1767536996,2022-06-09,2022-02-01,0.00185975271714286,0.00629641300928574,0.0118407248337144,0.0144520495974603,0.0527717614155659,0.0553827534703057
28222,"001209",248356,288261141,2015-03-31,2015-03-12,0.000234051137023808,-0.000474522020952383,0.00123438440304763,0.00129919207255952,0.0324146699782493,0.0281793610396626
28804,"001230",248501,142678370,2011-11-16,2011-11-09,0.00246958478773809,9.40659383333303e-05,0.0244304321359841,0.0435078011195833,0.0878844237537393,0.143307521161756
28804,"001230",248501,249255252,2013-11-14,2013-10-31,-0.00155443324440477,-0.00195503548380953,-0.00198658502555557,-0.00211725865553568,-0.139559059288711,-0.0293997056159876
28804,"001230",248501,275138577,2014-12-04,2014-10-23,-0.000393799827738103,-0.000726182119285734,0.00331211577701585,0.0087867342742857,-0.0326554740085125,0.0452726427128527
